# t x y z qx qy qz qw
1.645543342000000000e+09 9.018469810485839844e+00 -9.243627548217773438e+00 -3.407541513442993164e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 3.369927406311035156e-02 9.994320273399353027e-01
1.645543342049999952e+09 9.176261901855468750e+00 -9.226218223571777344e+00 -3.396754741668701172e+00 4.037536680698394775e-03 1.482373755425214767e-02 4.688754677772521973e-02 9.987819194793701172e-01
1.645543342099999905e+09 9.320356369018554688e+00 -9.136427879333496094e+00 -3.377254009246826172e+00 8.201127871870994568e-03 3.029307536780834198e-02 6.028455495834350586e-02 9.976877570152282715e-01
1.645543342150000095e+09 9.458350181579589844e+00 -9.022692680358886719e+00 -3.355068206787109375e+00 1.246617641299962997e-02 4.628534987568855286e-02 7.384227216243743896e-02 9.961172342300415039e-01
1.645543342200000048e+09 9.596601486206054688e+00 -8.895495414733886719e+00 -3.331202983856201172e+00 1.680790819227695465e-02 6.267689913511276245e-02 8.751239627599716187e-02 9.940476417541503906e-01
1.645543342250000000e+09 9.737462997436523438e+00 -8.757853507995605469e+00 -3.305801868438720703e+00 2.120140194892883301e-02 7.934363186359405518e-02 1.012466996908187866e-01 9.914657473564147949e-01
1.645543342299999952e+09 9.882171630859375000e+00 -8.611218452453613281e+00 -3.278841972351074219e+00 2.562173642218112946e-02 9.616155922412872314e-02 1.149972081184387207e-01 9.883684515953063965e-01
1.645543342349999905e+09 1.003117370605468750e+01 -8.456122398376464844e+00 -3.250233173370361328e+00 3.004410862922668457e-02 1.130068227648735046e-01 1.287166178226470947e-01 9.847633242607116699e-01
1.645543342400000095e+09 1.018458461761474609e+01 -8.292763710021972656e+00 -3.219818115234375000e+00 3.444395586848258972e-02 1.297566741704940796e-01 1.423587054014205933e-01 9.806685447692871094e-01
1.645543342450000048e+09 1.034230041503906250e+01 -8.121151924133300781e+00 -3.187332153320312500e+00 3.879699856042861938e-02 1.462900638580322266e-01 1.558783203363418579e-01 9.761127233505249023e-01
1.645543342500000000e+09 1.050396728515625000e+01 -7.941112995147705078e+00 -3.152297973632812500e+00 4.307948797941207886e-02 1.624872535467147827e-01 1.692320704460144043e-01 9.711347222328186035e-01
1.645543342549999952e+09 1.066873359680175781e+01 -7.752175331115722656e+00 -3.113757610321044922e+00 4.726812988519668579e-02 1.782314181327819824e-01 1.823784410953521729e-01 9.657832980155944824e-01
1.645543342599999905e+09 1.083292293548583984e+01 -7.552265644073486328e+00 -3.068119764328002930e+00 5.134030804038047791e-02 1.934080421924591064e-01 1.952778249979019165e-01 9.601166844367980957e-01
1.645543342650000095e+09 1.098061275482177734e+01 -7.334606647491455078e+00 -3.002866744995117188e+00 5.527414008975028992e-02 2.079054862260818481e-01 2.078928649425506592e-01 9.542015790939331055e-01
