# t x y z qx qy qz qw
1.645543342000000000e+09 -5.706360816955566406e+00 -1.653181076049804688e+01 -4.141619801521301270e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 7.418150305747985840e-01 6.706045866012573242e-01
1.645543342049999952e+09 -5.748885154724121094e+00 -1.648673248291015625e+01 -3.797501921653747559e-01 2.868981566280126572e-03 1.380003523081541061e-03 7.437189221382141113e-01 6.684849262237548828e-01
1.645543342099999905e+09 -5.782767295837402344e+00 -1.643796348571777344e+01 -3.491642773151397705e-01 6.034337915480136871e-03 2.760213566944003105e-03 7.458096146583557129e-01 6.661261320114135742e-01
1.645543342150000095e+09 -5.810037612915039062e+00 -1.638841056823730469e+01 -3.220547437667846680e-01 9.444170631468296051e-03 4.140108823776245117e-03 7.480478882789611816e-01 6.635646224021911621e-01
1.645543342200000048e+09 -5.832625389099121094e+00 -1.634003448486328125e+01 -2.978771924972534180e-01 1.304547302424907684e-02 5.520102567970752716e-03 7.503948211669921875e-01 6.608380079269409180e-01
1.645543342250000000e+09 -5.852177619934082031e+00 -1.629411315917968750e+01 -2.760621607303619385e-01 1.678584329783916473e-02 6.900081876665353775e-03 7.528129220008850098e-01 6.579842567443847656e-01
1.645543342299999952e+09 -5.869257450103759766e+00 -1.625106620788574219e+01 -2.563959360122680664e-01 2.061315812170505524e-02 8.279658854007720947e-03 7.552655935287475586e-01 6.550423502922058105e-01
1.645543342349999905e+09 -5.884171009063720703e+00 -1.621112251281738281e+01 -2.387627363204956055e-01 2.447484992444515228e-02 9.658881463110446930e-03 7.577173113822937012e-01 6.520523428916931152e-01
1.645543342400000095e+09 -5.897263050079345703e+00 -1.617450141906738281e+01 -2.230158895254135132e-01 2.831809222698211670e-02 1.103800628334283829e-02 7.601335048675537109e-01 6.490556001663208008e-01
1.645543342450000048e+09 -5.909057617187500000e+00 -1.614151573181152344e+01 -2.089398950338363647e-01 3.209084272384643555e-02 1.241670735180377960e-02 7.624816894531250000e-01 6.460943222045898438e-01
1.645543342500000000e+09 -5.919029235839843750e+00 -1.611190414428710938e+01 -1.967372894287109375e-01 3.574036806821823120e-02 1.379527989774942398e-02 7.647296190261840820e-01 6.432114243507385254e-01
1.645543342549999952e+09 -5.927591323852539062e+00 -1.608589553833007812e+01 -1.862328350543975830e-01 3.921483457088470459e-02 1.517335884273052216e-02 7.668468356132507324e-01 6.404513120651245117e-01
1.645543342599999905e+09 -5.934931278228759766e+00 -1.606361007690429688e+01 -1.773392409086227417e-01 4.246178269386291504e-02 1.655115187168121338e-02 7.688033580780029297e-01 6.378591656684875488e-01
1.645543342650000095e+09 -5.941047191619873047e+00 -1.604506874084472656e+01 -1.700494289398193359e-01 4.542925208806991577e-02 1.792860776185989380e-02 7.705709338188171387e-01 6.354802846908569336e-01
1.645543342700000048e+09 -5.945932388305664062e+00 -1.603027343750000000e+01 -1.643563061952590942e-01 4.806501418352127075e-02 1.930586807429790497e-02 7.721208930015563965e-01 6.333611607551574707e-01
1.645543342750000000e+09 -5.949581146240234375e+00 -1.601924324035644531e+01 -1.602528393268585205e-01 5.031704157590866089e-02 2.068307250738143921e-02 7.734258174896240234e-01 6.315479874610900879e-01
1.645543342799999952e+09 -5.951987266540527344e+00 -1.601199722290039062e+01 -1.577323079109191895e-01 5.213335901498794556e-02 2.206034585833549500e-02 7.744579911231994629e-01 6.300875544548034668e-01
1.645543342849999905e+09 -5.953145503997802734e+00 -1.600854301452636719e+01 -1.567875593900680542e-01 5.346235260367393494e-02 2.343750372529029846e-02 7.751896381378173828e-01 6.290258765220642090e-01
1.645543342900000095e+09 -5.956274509429931641e+00 -1.599861526489257812e+01 -1.529255658388137817e-01 5.425159633159637451e-02 2.481503598392009735e-02 7.755921483039855957e-01 6.284088492393493652e-01
1.645543342950000048e+09 -5.961365699768066406e+00 -1.598222351074218750e+01 -1.461422741413116455e-01 5.444923043251037598e-02 2.619298547506332397e-02 7.756363153457641602e-01 6.282815337181091309e-01
1.645543343000000000e+09 -5.961365699768066406e+00 -1.598222351074218750e+01 -1.461422741413116455e-01 5.444923043251037598e-02 2.619298547506332397e-02 7.756363153457641602e-01 6.282815337181091309e-01
1.645543343049999952e+09 -5.956274509429931641e+00 -1.599861526489257812e+01 -1.529255658388137817e-01 5.425159633159637451e-02 2.481503598392009735e-02 7.755921483039855957e-01 6.284088492393493652e-01
1.645543343099999905e+09 -5.953145503997802734e+00 -1.600854301452636719e+01 -1.567875593900680542e-01 5.346235260367393494e-02 2.343750372529029846e-02 7.751896381378173828e-01 6.290258765220642090e-01
1.645543343150000095e+09 -5.951987266540527344e+00 -1.601199722290039062e+01 -1.577323079109191895e-01 5.213335901498794556e-02 2.206034585833549500e-02 7.744579911231994629e-01 6.300875544548034668e-01
1.645543343200000048e+09 -5.949581146240234375e+00 -1.601924324035644531e+01 -1.602528393268585205e-01 5.031704157590866089e-02 2.068307250738143921e-02 7.734258174896240234e-01 6.315479874610900879e-01
1.645543343250000000e+09 -5.945932388305664062e+00 -1.603027343750000000e+01 -1.643563061952590942e-01 4.806501418352127075e-02 1.930586807429790497e-02 7.721208930015563965e-01 6.333611607551574707e-01
1.645543343299999952e+09 -5.941047191619873047e+00 -1.604506874084472656e+01 -1.700494289398193359e-01 4.542925208806991577e-02 1.792860776185989380e-02 7.705709338188171387e-01 6.354802846908569336e-01
1.645543343349999905e+09 -5.934931278228759766e+00 -1.606361007690429688e+01 -1.773392409086227417e-01 4.246178269386291504e-02 1.655115187168121338e-02 7.688033580780029297e-01 6.378591656684875488e-01
1.645543343400000095e+09 -5.927591323852539062e+00 -1.608589553833007812e+01 -1.862328350543975830e-01 3.921483457088470459e-02 1.517335884273052216e-02 7.668468356132507324e-01 6.404513120651245117e-01
1.645543343450000048e+09 -5.919029235839843750e+00 -1.611190414428710938e+01 -1.967372894287109375e-01 3.574036806821823120e-02 1.379527989774942398e-02 7.647296190261840820e-01 6.432114243507385254e-01
1.645543343500000000e+09 -5.909057617187500000e+00 -1.614151573181152344e+01 -2.089398950338363647e-01 3.209084272384643555e-02 1.241670735180377960e-02 7.624816894531250000e-01 6.460943222045898438e-01
1.645543343549999952e+09 -5.897263050079345703e+00 -1.617450141906738281e+01 -2.230158895254135132e-01 2.831809222698211670e-02 1.103800628334283829e-02 7.601335048675537109e-01 6.490556001663208008e-01
1.645543343599999905e+09 -5.884171009063720703e+00 -1.621112251281738281e+01 -2.387627363204956055e-01 2.447484992444515228e-02 9.658881463110446930e-03 7.577173113822937012e-01 6.520523428916931152e-01
1.645543343650000095e+09 -5.869257450103759766e+00 -1.625106620788574219e+01 -2.563959360122680664e-01 2.061315812170505524e-02 8.279658854007720947e-03 7.552655935287475586e-01 6.550423502922058105e-01
1.645543343700000048e+09 -5.852177619934082031e+00 -1.629411315917968750e+01 -2.760621607303619385e-01 1.678584329783916473e-02 6.900081876665353775e-03 7.528129220008850098e-01 6.579842567443847656e-01
1.645543343750000000e+09 -5.832625389099121094e+00 -1.634003448486328125e+01 -2.978771924972534180e-01 1.304547302424907684e-02 5.520102567970752716e-03 7.503948211669921875e-01 6.608380079269409180e-01
1.645543343799999952e+09 -5.810037612915039062e+00 -1.638841056823730469e+01 -3.220547437667846680e-01 9.444170631468296051e-03 4.140108823776245117e-03 7.480478882789611816e-01 6.635646224021911621e-01
1.645543343849999905e+09 -5.782767295837402344e+00 -1.643796348571777344e+01 -3.491642773151397705e-01 6.034337915480136871e-03 2.760213566944003105e-03 7.458096146583557129e-01 6.661261320114135742e-01
1.645543343900000095e+09 -5.748885154724121094e+00 -1.648673248291015625e+01 -3.797501921653747559e-01 2.868981566280126572e-03 1.380003523081541061e-03 7.437189221382141113e-01 6.684849262237548828e-01
